pack_name,piece_count_1,piece_count_2,difficulty_rating_1,difficulty_rating_2,brand_1,brand_2,num_puzzles,pieces_d1,pieces_d2,pieces_d3,pieces_d4,piece_count_pack,difficulty_rating_pack,w_pieces_diff_transformed,holdtime
Artifact Puzzles Tyson Grumm Slacking Pandas Artifact Puzzles Utagawa Kuniyoshi Cats,224,258,1,3,Artifact,Artifact,2,224,0,258,0,482,2,-0.30255248640013027,6.971888597172106
DaVici Puzzles Sergey Adeev Winter is Just Around The Corner DaVici Puzzles Vladimir Zhdanov Lilac House,260,160,1,1,DaVici,DaVici,2,420,0,0,0,420,1,-1.5498659425638504,45.90313195367014
Steve Gordon Meta Maze Puzzle 11 Nautilus Puzzles Peking Dragon,205,150,1,1,Nautilus,Nautilus,2,355,0,0,0,355,1,-1.7553557657590457,45.10938137601232
Stave Puzzles Awesome Blossom DaVici Puzzles Offstage,175,190,4,1,DaVici,Stave,2,190,0,0,175,365,2,-0.48765270646426,1.984345277370926
Artifact Puzzles Yuri Gorbachev Two Cats Artifact Puzzles Vladstudio Owl Internet Cafe,314,204,1,2,Artifact,Artifact,2,314,204,0,0,518,1,-0.809071113271526,1.2322098277244675
Artifact Puzzles Erin Hanson Dawning Saguaro Artifact Puzzles Jethro Buck Fishies,418,355,2,4,Artifact,Artifact,2,0,418,0,355,773,3,1.2263350240637985,3.055750847274919
Stumpcraft Puzzles Tom Thomson Soft Maple in Autumn ,408,0,3,2,Other-Laser-cut,Other-Laser-cut,1,0,0,408,0,408,3,0.04426729577175574,3.056062772111076
Artifact Puzzles Isabelle Plante La Connaissance Artifact Puzzles Jonik Wizards Workshop,379,358,1,1,Artifact,Artifact,2,737,0,0,0,737,1,-0.7784027196578971,1.7376228955795834
Nautilus Puzzles Mandala Stones ,432,0,3,2,Nautilus,Nautilus,1,0,0,432,0,432,3,0.1454225667674366,4.960709107103217
Nautilus Puzzles Steve Skelton Space Colony ,522,0,2,2,Nautilus,Nautilus,1,0,522,0,0,522,2,-0.22788672661558015,6.04526646370706
Artifact Puzzles Edward Hopper Nighthawks  Artifact Puzzles Richard Friend The Just Reproach,374,396,2,3,Artifact,Artifact,2,0,374,396,0,770,2,0.9090604780683892,3.531556121916088
