memberID,holdtime,puzzlepack,pack_name,piece_count_1,piece_count_2,difficulty_rating_1,difficulty_rating_2,brand_1,brand_2,num_puzzles
member1,1.405730339718426,Nervous System Jonathan McCabe Radial Series #1559 Wongo Puzzles The Butterfly,Nervous System Jonathan McCabe Radial Series #1559 Wongo Puzzles The Butterfly,80,206,1,2,Other-Laser-cut,Other-Laser-cut,2
member1,9.971341599676943,Liberty Puzzles Linnea Pergola Barcelona ,Liberty Puzzles Linnea Pergola Barcelona ,673,0,2,2,Liberty,Liberty,1
member1,7.832772395196655,Wentworth Puzzles Richard Macneil Summer Hedgehogs ,Wentworth Puzzles Richard Macneil Summer Hedgehogs ,1000,0,2,2,Wentworth,Wentworth,1
member1,1.9757058042269908,Mr. Bob Puzzles Rebecca Cool Birds in a Tree Hartmaze Puzzles Hundred Birds Paying Homage to The Phoenix,Mr. Bob Puzzles Rebecca Cool Birds in a Tree Hartmaze Puzzles Hundred Birds Paying Homage to The Phoenix,525,253,1,2,Other-Laser-cut,Other-Laser-cut,2
member1,10.029547098808322,Chris Yates Remote Archipelago BCB Puzzles The Hat Shop,Chris Yates Remote Archipelago BCB Puzzles The Hat Shop,61,150,1,4,Other-Hand-cut,Other-Hand-cut,2
member1,9.81554690913787,DaVici Puzzles Heavenly Postman DaVici Puzzles A.P. Chehov,DaVici Puzzles Heavenly Postman DaVici Puzzles A.P. Chehov,230,200,1,1,DaVici,DaVici,2
member1,7.075281495074444,Liberty Puzzles Richard Dadd The Fairy Fellers Master Stroke ,Liberty Puzzles Richard Dadd The Fairy Fellers Master Stroke ,480,0,3,2,Liberty,Liberty,1
member1,6.971888597172106,Artifact Puzzles Tyson Grumm Slacking Pandas Artifact Puzzles Utagawa Kuniyoshi Cats,Artifact Puzzles Tyson Grumm Slacking Pandas Artifact Puzzles Utagawa Kuniyoshi Cats,224,258,1,3,Artifact,Artifact,2
member1,45.90313195367014,DaVici Puzzles Sergey Adeev Winter is Just Around The Corner DaVici Puzzles Vladimir Zhdanov Lilac House,DaVici Puzzles Sergey Adeev Winter is Just Around The Corner DaVici Puzzles Vladimir Zhdanov Lilac House,260,160,1,1,DaVici,DaVici,2
member1,45.10938137601232,Steve Gordon Meta Maze Puzzle 11 Nautilus Puzzles Peking Dragon,Steve Gordon Meta Maze Puzzle 11 Nautilus Puzzles Peking Dragon,205,150,1,1,Nautilus,Nautilus,2
member1,1.984345277370926,Stave Puzzles Awesome Blossom DaVici Puzzles Offstage,Stave Puzzles Awesome Blossom DaVici Puzzles Offstage,175,190,4,1,DaVici,Stave,2
member1,1.2322098277244675,Artifact Puzzles Yuri Gorbachev Two Cats Artifact Puzzles Vladstudio Owl Internet Cafe,Artifact Puzzles Yuri Gorbachev Two Cats Artifact Puzzles Vladstudio Owl Internet Cafe,314,204,1,2,Artifact,Artifact,2
member2,3.055750847274919,Artifact Puzzles Erin Hanson Dawning Saguaro Artifact Puzzles Jethro Buck Fishies,Artifact Puzzles Erin Hanson Dawning Saguaro Artifact Puzzles Jethro Buck Fishies,418,355,2,4,Artifact,Artifact,2
member2,3.056062772111076,Stumpcraft Puzzles Tom Thomson Soft Maple in Autumn ,Stumpcraft Puzzles Tom Thomson Soft Maple in Autumn ,408,0,3,2,Other-Laser-cut,Other-Laser-cut,1
member3,1.7376228955795834,Artifact Puzzles Isabelle Plante La Connaissance Artifact Puzzles Jonik Wizards Workshop,Artifact Puzzles Isabelle Plante La Connaissance Artifact Puzzles Jonik Wizards Workshop,379,358,1,1,Artifact,Artifact,2
member3,4.960709107103217,Nautilus Puzzles Mandala Stones ,Nautilus Puzzles Mandala Stones ,432,0,3,2,Nautilus,Nautilus,1
member3,6.04526646370706,Nautilus Puzzles Steve Skelton Space Colony ,Nautilus Puzzles Steve Skelton Space Colony ,522,0,2,2,Nautilus,Nautilus,1
member3,3.531556121916088,Artifact Puzzles Edward Hopper Nighthawks  Artifact Puzzles Richard Friend The Just Reproach,Artifact Puzzles Edward Hopper Nighthawks  Artifact Puzzles Richard Friend The Just Reproach,374,396,2,3,Artifact,Artifact,2
member3,2.9092452298388656,Nautilus Puzzles NASA and JPL Visions Of The Future ,Nautilus Puzzles NASA and JPL Visions Of The Future ,407,0,2,2,Nautilus,unknown,1
member3,4.680240553435857,Artifact Puzzles Some Enchanted Evening Artifact Puzzles Randal Spangler Fireside Fairytales,Artifact Puzzles Some Enchanted Evening Artifact Puzzles Randal Spangler Fireside Fairytales,422,364,3,2,Artifact,Artifact,2
member3,17.527838657161563,Nautilus Puzzles Vintage Tour De France ,Nautilus Puzzles Vintage Tour De France ,407,0,2,2,Nautilus,unknown,1
member3,4.981465559835093,Artifact Puzzles Randal Spangler Computer Catastrophes Artifact Puzzles Bruce Riley Stem Cell,Artifact Puzzles Randal Spangler Computer Catastrophes Artifact Puzzles Bruce Riley Stem Cell,182,191,1,3,Artifact,Artifact,2
member3,10.872661974829422,Artifact Puzzles Tomasz Pietrzyk Romeo and Juliet Artifact Puzzles Kevin Sloan Our Gentle Giant,Artifact Puzzles Tomasz Pietrzyk Romeo and Juliet Artifact Puzzles Kevin Sloan Our Gentle Giant,424,326,3,3,Artifact,Artifact,2
member3,5.801298641646296,Ecru Puzzles Erin Hanson Cypress Lights Ecru Puzzles Richard Friend Limberlost,Ecru Puzzles Erin Hanson Cypress Lights Ecru Puzzles Richard Friend Limberlost,398,355,3,2,Ecru,Ecru,2
